Country,Location_Type,MT,Cost Centre,Grade,Jan_HC,Feb_HC,Mar_HC,Apr_HC,May_HC,Jun_HC,Jul_HC,Aug_HC,Sep_HC,Oct_HC,Nov_HC,Dec_HC,Jan_Budget,Feb_Budget,Mar_Budget,Apr_Budget,May_Budget,Jun_Budget,Jul_Budget,Aug_Budget,Sep_Budget,Oct_Budget,Nov_Budget,Dec_Budget,Dec_Variance
UK,Onshore,WRB,WRB_UK_1301,B4,3,2,2,2,2,2,4,2,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
SG,Onshore,Risk,Risk_SG_1142,B6,4,4,2,3,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,T&O,T&O_UK_1447,B7,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
US,Onshore,Risk,Risk_US_1151,B6,4,5,6,6,4,4,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
UAE,Onshore,T&O,T&O_UAE_1471,B5,4,4,4,2,2,2,2,4,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UAE,Onshore,CFCR,CFCR_UAE_1155,B6,2,2,3,1,1,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
GBS IN,Offshore,WRB,WRB_GBS IN_1279,B7,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
GBS IN,Offshore,WRB,WRB_GBS IN_1280,B5,5,4,4,6,4,6,4,6,4,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
GBS IN,Offshore,T&O,T&O_GBS IN_1479,B5,3,3,1,2,3,2,1,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
UK,Onshore,Risk,Risk_UK_1138,B4,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HK,Onshore,CFCR,CFCR_HK_1147,MD,4,5,4,3,5,4,3,5,5,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1
UAE,Onshore,CIB,CIB_UAE_1224,B5,5,5,4,3,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
UK,Onshore,T&O,T&O_UK_1448,B5,3,4,5,4,5,3,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
US,Onshore,T&O,T&O_US_1473,B7,3,5,5,4,5,5,4,3,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
CN,Onshore,T&O,T&O_CN_1476,B5,3,3,3,2,4,3,4,2,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,T&O,T&O_UK_1449,B5,4,4,5,3,5,5,3,4,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
GBS IN,Offshore,CFCR,CFCR_GBS IN_1147,B5,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
IN,Onshore,T&O,T&O_IN_1425,B6,1,1,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
CN,Onshore,WRB,WRB_CN_1301,B7,3,2,1,1,1,1,1,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
UAE,Onshore,T&O,T&O_UAE_1472,B5,2,2,2,3,3,3,4,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
SG,Onshore,T&O,T&O_SG_1465,B4,4,3,2,2,2,4,4,2,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
IN,Onshore,CFCR,CFCR_IN_1175,MD,1,3,1,1,2,1,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
UAE,Onshore,WRB,WRB_UAE_1279,B6,3,4,4,4,3,3,2,4,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,T&O,T&O_UK_1450,B6,2,1,2,3,3,2,1,1,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
UAE,Onshore,CIB,CIB_UAE_1225,B4,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UK,Onshore,CIB,CIB_UK_1254,B6,1,2,2,2,2,1,3,3,3,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1
GBS IN,Offshore,WRB,WRB_GBS IN_1281,B4,2,4,4,3,2,2,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
HK,Onshore,T&O,T&O_HK_1441,B6,3,1,2,2,3,1,3,1,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
GBS IN,Offshore,T&O,T&O_GBS IN_1480,B6,3,2,1,1,3,1,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
UK,Onshore,T&O,T&O_UK_1451,B5,2,3,2,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,T&O,T&O_UK_1452,B6,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
CN,Onshore,T&O,T&O_CN_1477,B7,2,2,3,2,4,2,4,2,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,Risk,Risk_UK_1139,MD,5,6,6,4,6,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0
IN,Onshore,WRB,WRB_IN_1328,B6,1,2,1,2,1,3,3,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
UK,Onshore,T&O,T&O_UK_1453,B6,4,5,6,4,6,5,4,5,5,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,1
UAE,Onshore,WRB,WRB_UAE_1280,B7,2,2,2,4,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
SG,Onshore,CIB,CIB_SG_1210,B6,6,4,5,4,5,6,6,6,5,6,4,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
SG,Onshore,T&O,T&O_SG_1466,B6,4,2,3,4,3,4,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
IN,Onshore,GCFO,GCFO_IN_1073,B5,3,4,4,5,3,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
CN,Onshore,WRB,WRB_CN_1302,B6,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UK,Onshore,T&O,T&O_UK_1454,B5,3,4,4,3,4,2,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
HK,Onshore,CIB,CIB_HK_1244,B5,4,3,3,3,3,5,3,5,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
US,Onshore,CIB,CIB_US_1248,MD,2,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
GBS IN,Offshore,CFCR,CFCR_GBS IN_1148,B6,6,5,6,4,6,6,4,6,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0
UAE,Onshore,Risk,Risk_UAE_1152,B6,2,2,3,2,3,4,2,3,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,WRB,WRB_UK_1302,B6,3,3,2,2,4,3,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,CFCR,CFCR_UK_1135,B5,6,4,4,4,5,4,4,4,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,0
UAE,Onshore,GCFO,GCFO_UAE_1077,B7,5,5,5,4,5,3,3,3,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
SG,Onshore,S&T,S&T_SG_1154,B4,6,6,6,4,6,6,5,5,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
HK,Onshore,CFCR,CFCR_HK_1148,B7,5,4,4,4,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
CN,Onshore,CIB,CIB_CN_1239,B7,4,4,2,3,2,4,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
GBS IN,Offshore,S&T,S&T_GBS IN_1155,MD,4,6,6,5,4,5,5,5,4,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
UAE,Onshore,WRB,WRB_UAE_1281,B6,3,4,3,4,2,2,4,4,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
IN,Onshore,T&O,T&O_IN_1426,B7,2,2,2,3,2,2,2,1,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1
CN,Onshore,T&O,T&O_CN_1478,B7,4,5,5,5,4,6,4,4,5,6,4,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
IN,Onshore,WRB,WRB_IN_1329,B5,2,2,4,2,3,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
GBS IN,Offshore,WRB,WRB_GBS IN_1282,B6,3,2,3,2,3,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
IN,Onshore,S&T,S&T_IN_1134,B6,2,2,3,2,4,3,4,3,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UAE,Onshore,T&O,T&O_UAE_1473,B6,4,4,3,5,4,5,3,4,3,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
HK,Onshore,T&O,T&O_HK_1442,B4,4,4,3,2,3,4,2,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
US,Onshore,GCFO,GCFO_US_1096,B7,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
IN,Onshore,CIB,CIB_IN_1262,B7,4,3,4,4,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,T&O,T&O_UK_1455,B7,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
IN,Onshore,T&O,T&O_IN_1427,B6,4,4,3,4,3,2,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,Risk,Risk_UK_1140,B6,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UAE,Onshore,Risk,Risk_UAE_1153,B6,4,3,3,3,4,3,2,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
US,Onshore,WRB,WRB_US_1326,B7,3,3,4,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
IN,Onshore,Risk,Risk_IN_1152,B5,3,4,2,2,3,2,4,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
US,Onshore,CFCR,CFCR_US_1163,B6,4,6,4,4,4,6,5,5,6,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
HK,Onshore,WRB,WRB_HK_1293,B5,5,4,4,5,5,5,3,5,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0
IN,Onshore,T&O,T&O_IN_1428,B6,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HK,Onshore,CIB,CIB_HK_1245,B6,3,2,3,4,4,2,4,4,2,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
SG,Onshore,WRB,WRB_SG_1307,B5,6,6,6,6,5,6,6,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
SG,Onshore,WRB,WRB_SG_1308,B5,3,4,3,2,2,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UAE,Onshore,GCFO,GCFO_UAE_1078,B5,2,4,3,2,2,3,2,4,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
CN,Onshore,S&T,S&T_CN_1140,B7,1,2,1,1,3,1,1,1,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1
UAE,Onshore,WRB,WRB_UAE_1282,MD,3,3,3,3,2,3,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
US,Onshore,CFCR,CFCR_US_1164,B7,4,4,3,2,4,2,2,3,3,4,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
US,Onshore,WRB,WRB_US_1327,B5,4,2,2,2,2,2,4,4,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UAE,Onshore,CIB,CIB_UAE_1226,B4,4,4,2,4,2,4,2,2,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,CIB,CIB_UK_1255,B6,3,3,4,2,4,3,3,4,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
US,Onshore,Risk,Risk_US_1152,B7,2,4,3,4,2,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UAE,Onshore,T&O,T&O_UAE_1474,B6,2,2,3,4,2,2,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
IN,Onshore,T&O,T&O_IN_1429,B6,2,3,2,3,2,1,2,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
CN,Onshore,Risk,Risk_CN_1159,B6,2,1,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
IN,Onshore,GCFO,GCFO_IN_1074,B4,6,5,6,5,6,6,5,6,4,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
US,Onshore,T&O,T&O_US_1474,MD,6,4,5,6,5,5,6,6,5,5,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
CN,Onshore,Risk,Risk_CN_1160,B7,3,2,2,2,3,2,4,4,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
HK,Onshore,S&T,S&T_HK_1147,B6,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
UK,Onshore,S&T,S&T_UK_1150,B7,3,4,5,3,3,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
CN,Onshore,S&T,S&T_CN_1141,B7,4,4,5,5,5,5,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
SG,Onshore,T&O,T&O_SG_1467,B4,4,4,2,2,4,2,3,3,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
CN,Onshore,S&T,S&T_CN_1142,B6,6,4,5,4,5,5,6,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
US,Onshore,WRB,WRB_US_1328,B6,3,3,4,3,3,5,5,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1
HK,Onshore,WRB,WRB_HK_1294,B7,5,5,6,4,6,6,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
CN,Onshore,WRB,WRB_CN_1303,B6,2,2,4,3,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
IN,Onshore,WRB,WRB_IN_1330,B4,2,3,3,4,2,4,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
CN,Onshore,CFCR,CFCR_CN_1168,B6,3,2,2,3,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
GBS IN,Offshore,GCFO,GCFO_GBS IN_1074,B6,5,4,4,3,4,5,3,4,3,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
UK,Onshore,T&O,T&O_UK_1456,B6,2,2,1,1,2,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1
GBS IN,Offshore,Risk,Risk_GBS IN_1164,B7,4,5,6,6,5,6,5,6,5,6,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
HK,Onshore,WRB,WRB_HK_1295,B4,4,4,5,6,6,6,4,6,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
HK,Onshore,GCFO,GCFO_HK_1077,B5,4,4,2,2,4,4,4,4,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UAE,Onshore,WRB,WRB_UAE_1283,B6,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UAE,Onshore,WRB,WRB_UAE_1284,B6,4,5,3,4,5,3,3,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
US,Onshore,WRB,WRB_US_1329,B5,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HK,Onshore,WRB,WRB_HK_1296,B7,5,6,5,5,5,4,4,6,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0
GBS IN,Offshore,S&T,S&T_GBS IN_1156,B7,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
GBS IN,Offshore,T&O,T&O_GBS IN_1481,B6,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
US,Onshore,GCFO,GCFO_US_1097,B5,3,4,3,4,2,2,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UAE,Onshore,T&O,T&O_UAE_1475,B7,3,3,2,3,4,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
HK,Onshore,WRB,WRB_HK_1297,B6,4,3,2,4,4,4,3,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
GBS IN,Offshore,T&O,T&O_GBS IN_1482,B5,4,4,4,5,5,6,5,5,4,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,1
US,Onshore,WRB,WRB_US_1330,B7,4,4,4,5,4,5,4,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
HK,Onshore,T&O,T&O_HK_1443,MD,1,1,1,2,3,3,2,2,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
IN,Onshore,S&T,S&T_IN_1135,B5,3,4,3,2,4,3,4,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
CN,Onshore,T&O,T&O_CN_1479,B7,5,4,3,5,3,5,4,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
US,Onshore,GCFO,GCFO_US_1098,B6,3,3,3,3,5,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0
IN,Onshore,T&O,T&O_IN_1430,B6,5,4,6,4,5,5,5,6,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,0
GBS IN,Offshore,CIB,CIB_GBS IN_1233,B7,4,4,3,3,3,4,5,5,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
US,Onshore,CIB,CIB_US_1249,B7,3,4,3,2,2,4,4,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UAE,Onshore,CIB,CIB_UAE_1227,B7,6,4,4,6,5,5,5,5,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0
IN,Onshore,T&O,T&O_IN_1431,B6,1,2,1,2,1,1,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
SG,Onshore,WRB,WRB_SG_1309,B7,6,5,5,5,6,6,5,4,6,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,1
UK,Onshore,CIB,CIB_UK_1256,B4,2,4,3,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
US,Onshore,WRB,WRB_US_1331,B6,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
CN,Onshore,CFCR,CFCR_CN_1169,B7,3,1,2,1,1,3,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
US,Onshore,T&O,T&O_US_1475,B5,4,6,5,5,6,6,5,5,4,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,1
UK,Onshore,T&O,T&O_UK_1457,B5,5,4,5,6,5,5,5,6,4,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
UK,Onshore,WRB,WRB_UK_1303,B7,3,2,2,3,2,3,3,4,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,WRB,WRB_UK_1304,B7,4,2,4,3,3,4,4,2,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
CN,Onshore,WRB,WRB_CN_1304,B5,6,4,4,4,5,4,5,6,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
CN,Onshore,CFCR,CFCR_CN_1170,B4,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
UAE,Onshore,T&O,T&O_UAE_1476,B6,3,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
UAE,Onshore,CIB,CIB_UAE_1228,B7,4,4,4,4,3,2,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
UK,Onshore,CIB,CIB_UK_1257,B4,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
GBS IN,Offshore,WRB,WRB_GBS IN_1283,B7,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HK,Onshore,CFCR,CFCR_HK_1149,B7,1,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
US,Onshore,WRB,WRB_US_1332,B6,2,3,1,3,2,1,1,3,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
SG,Onshore,CFCR,CFCR_SG_1160,B5,2,4,4,3,2,2,4,4,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
IN,Onshore,WRB,WRB_IN_1331,B6,3,3,4,2,3,3,4,4,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,WRB,WRB_UK_1305,B6,4,5,5,6,6,6,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
GBS IN,Offshore,WRB,WRB_GBS IN_1284,B5,5,3,5,3,4,5,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
HK,Onshore,S&T,S&T_HK_1148,B6,6,4,6,6,4,4,6,4,4,4,6,6,5,5,5,5,5,5,5,5,5,5,5,5,1
US,Onshore,S&T,S&T_US_1165,B5,2,2,1,1,2,1,3,1,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
UAE,Onshore,T&O,T&O_UAE_1477,B5,4,5,5,5,3,5,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0
SG,Onshore,CIB,CIB_SG_1211,B6,3,5,5,3,4,4,5,3,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1
SG,Onshore,S&T,S&T_SG_1155,B6,4,3,3,3,2,3,4,3,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
IN,Onshore,WRB,WRB_IN_1332,B4,5,4,4,5,4,4,6,6,5,4,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
IN,Onshore,T&O,T&O_IN_1432,B7,2,2,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1
UK,Onshore,T&O,T&O_UK_1458,B7,1,1,1,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
GBS IN,Offshore,CFCR,CFCR_GBS IN_1149,B6,2,1,1,2,3,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1
HK,Onshore,T&O,T&O_HK_1444,B7,2,3,1,1,3,3,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
HK,Onshore,CIB,CIB_HK_1246,B7,3,4,5,4,5,5,5,4,5,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
CN,Onshore,CFCR,CFCR_CN_1171,B6,5,6,4,5,6,5,6,4,4,6,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
HK,Onshore,WRB,WRB_HK_1298,B6,4,2,3,2,2,2,4,4,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
GBS IN,Offshore,CFCR,CFCR_GBS IN_1150,B7,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UAE,Onshore,CIB,CIB_UAE_1229,B6,5,3,4,5,4,5,3,4,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
US,Onshore,CIB,CIB_US_1250,B6,3,1,1,3,1,3,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
CN,Onshore,CIB,CIB_CN_1240,B6,4,4,3,3,2,3,2,4,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
HK,Onshore,GCFO,GCFO_HK_1078,B5,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HK,Onshore,WRB,WRB_HK_1299,B6,3,4,4,3,2,3,4,2,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
CN,Onshore,WRB,WRB_CN_1305,MD,1,1,3,2,1,3,2,3,1,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
SG,Onshore,CFCR,CFCR_SG_1161,B6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
US,Onshore,T&O,T&O_US_1476,B6,4,4,5,6,6,6,5,4,6,5,6,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
UK,Onshore,T&O,T&O_UK_1459,B4,2,4,2,3,2,4,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
GBS IN,Offshore,CIB,CIB_GBS IN_1234,B6,4,3,3,4,3,3,3,2,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,S&T,S&T_UK_1151,B6,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
UAE,Onshore,CIB,CIB_UAE_1230,B7,1,3,2,2,2,1,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
IN,Onshore,WRB,WRB_IN_1333,B6,4,4,4,2,3,4,2,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,-1
HK,Onshore,WRB,WRB_HK_1300,B6,6,5,4,6,4,5,5,6,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,-1
US,Onshore,T&O,T&O_US_1477,B6,3,2,4,3,4,2,2,4,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
UK,Onshore,CIB,CIB_UK_1258,B5,1,2,1,2,1,2,1,1,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,-1
CN,Onshore,T&O,T&O_CN_1480,B5,1,3,3,2,2,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
IN,Onshore,Risk,Risk_IN_1153,B5,3,4,5,3,3,3,4,5,3,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1
HK,Onshore,T&O,T&O_HK_1445,B7,4,3,5,3,5,3,3,4,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,1
SG,Onshore,S&T,S&T_SG_1156,B5,4,4,4,3,3,2,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,0
GBS IN,Offshore,T&O,T&O_GBS IN_1483,B7,3,4,2,2,2,4,3,3,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1
US,Onshore,T&O,T&O_US_1478,B7,6,6,6,5,5,4,5,4,5,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,0
CN,Onshore,T&O,T&O_CN_1481,B5,3,3,5,5,4,5,5,4,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,-1
